"data_extracao";"codigo";"nome";"telefone";"logradouro";"numero";"latitude";"longitude"
2020-03-10 01:58:32;1;RODOVIÁRIA;"3221-9371 ";LG VESPASIANO JULIO VEPPO ;"0";-30,02399616;-51,2194512698
2020-03-10 01:58:32;458;AV. DAS INDÚSTRIAS X AV. SEVERO DULLIUS; ;AV. DAS INDÚSTRIAS ;"1344";-29,9872776651;-51,1698367788
2020-03-10 01:58:32;327;DOM PEDRO II X CORCOVADO; ;R DOM PEDRO II ;"1551";-30,0206083042;-51,1862840548
2020-03-10 01:58:32;24;SHOPPING CENTER IGUATEMI II;"4141-4695";AV JOAO WALLIG ;"1800";-30,0254487549;-51,1632092798
2020-03-10 01:58:32;60;RAMALHETE X TENENTE ALPOIN;"3339-1241 ";R RAMALHETE;"105";-30,067301719;-51,1768251093
2020-03-10 01:58:32;68;MUCIO TEIXEIRA C/ AURELIANO DE FIGUEIREDO PINTO;"3226-5109 ";R MUCIO TEIXEIRA ;"10";-30,0438007238;-51,2233274456
2020-03-10 01:58:32;105;MARCILIO DIAS X GETULIO VARGAS;"3231-0808 ";R MARCILIO DIAS ;"763";-30,049792624;-51,2218594369
2020-03-10 01:58:32;183;SILVEIRO X RADIO E TV GAUCHA; ;R SILVEIRO ;"1220";-30,0705347259;-51,2309254081
2020-03-10 01:58:32;113;HOFFMANN X CRISTÓVÃO COLOMBO;"3222-8176 ";R HOFFMANN ;"710";-30,0215040522;-51,207416905
2020-03-10 01:58:32;121;MAXXI ATACADO HUMAITÁ;"3374-1663 ";AV A J RENNER ;"1603";-29,9823906495;-51,192600204
2020-03-10 01:58:32;100;JOÃO PESSOA X VENÂNCIO AIRES;"3212-4398 ";AV JOAO PESSOA ;"1105";-30,0411891021;-51,2164530974
2020-03-10 01:58:32;267;DAN INN CONCEIÇÃO;"3226-6498";R VIGARIO JOSE IGNACIO ;"618";-30,0310650045;-51,2258034105
2020-03-10 01:58:32;295;PINTO BANDEIRA X VOLUNTÁRIOS DA PÁTRIA; ;R PINTO BANDEIRA ;"280";-30,0266981522;-51,2224325076
2020-03-10 01:58:32;399;SIOMA BREITMAN X NILO PEÇANHA; ;RUA SIOMA BREITMAN ;"495";-30,0345967295;-51,1851928004
2020-03-10 01:58:32;40;FREDERICO MENTZ, 1530; ;R FREDERICO MENTZ ;"1561";-29,9960514008;-51,2022788349
2020-03-10 01:58:32;85;SANTA TERESINHA X VENÂNCIO AIRES;"3330-5831 ";R SANTA TEREZINHA ;"79";-30,0378329055;-51,2110167788
2020-03-10 01:58:32;411;"24 DE OUTUBRO X AUXILIADORA"; ;R VINTE QUATRO DE OUTUBRO ;"1728";-30,021675713;-51,1914527215
2020-03-10 01:58:32;66;FORUM CENTRAL;"3224-1379 ";R MARCIO L VERAS VIDOR ;"10";-30,044479176;-51,2308223551
2020-03-10 01:58:32;453;FERNANDO FERRARI; ;R. FERNANDO FERRARI ;"1001";-29,9749672446;-51,1669746197
2020-03-10 01:58:32;456;VENÂNCIO AIRES X JOÃO PESSOA; ;AV VENANCIO AIRES ;"355";-30,0412534415;-51,2163943713
2020-03-10 01:58:32;475;Paraguai x Cabral;"";R PARAGUAI;"50";-30,028339;-51,228538
2020-03-10 01:58:32;397;SERTÓRIO X FARRAPOS; ;AV SERTORIO ;"615";-29,9999617646;-51,1996064978
2020-03-10 01:58:32;438;BARÃO DO COTEGIPE X DOM PEDRO II; ;R BARAO DO COTEGIPE ;"400";-30,0092609968;-51,1886168107
2020-03-10 01:58:32;370;CEL. MARCOS X DÉA COFAL; ;AV CEL MARCOS ;"2519";-30,1322798667;-51,2336366306
2020-03-10 01:58:32;401;TIBURCIO X CORTE REAL X IPIRANGA; ;R GEN TIBURCIO ;"50";-30,0495991753;-51,19478025
2020-03-10 01:58:32;2;SALDANHA MARINHO X GETÚLIO VARGAS;"3233-5680 ";R SALDANHA MARINHO ;"30";-30,0576550117;-51,2225549119
2020-03-10 01:58:32;56;PEDRO AUGUSTO BITTENCOURT X JUCA BATISTA;"3248-2310 ";AV CEL PEDRO AUGUSTO BITTENCOURT ;"10";-30,1424662276;-51,2179311271
2020-03-10 01:58:32;112;HOSPITAL PRONTO SOCORRO (HPS);"3331-4731 ";R AUGUSTO PESTANA ;"10";-30,0371848142;-51,2092371706
2020-03-10 01:58:32;167;ESCOBAR X OTTO NIEMEYER; ;TRAV. ESCOBAR ;"336";-30,1040390603;-51,236296473
2020-03-10 01:58:32;347;GENUINO X BORGES DE MEDEIROS; ;R CEL GENUINO ;"342";-30,0368071768;-51,2278828667
2020-03-10 01:58:32;447;GUILHERME SCHELL (ESPM); ;R. GUILHERME SCHELL ;"268";-30,0544733846;-51,2072566443
2020-03-10 01:58:32;150;ARY DE ABREU LIMA X AV DO FORTE; ;AV ENG ARY DE ABREU LIMA ;"5";-30,0258330949;-51,1510513837
2020-03-10 01:58:32;454;JOÃO ALFREDO X; ;R. JOÃO ALFREDO ;"487";-30,0412773854;-51,2252774926
2020-03-10 01:58:32;325;COUTO DE MAGALHAES X PORTUGAL; ;R GEN COUTO DE MAGALHAES ;"1868";-30,0146225443;-51,1829841266
2020-03-10 01:58:32;480;HOTEL COMFORT;"";AV LOUREIRO DA SILVA;"1670";-30,028339;-51,228538
2020-03-10 01:58:32;72;SERTÓRIO X PRESIDENTE ROOSEVELT;"3337-3042 ";AV SERTORIO ;"473";-29,9996094917;-51,2012422295
2020-03-10 01:58:32;122;PADRE CHAGAS X LUCIANA DE ABREU;"3222-7481 ";R PADRE CHAGAS ;"242";-30,0248996734;-51,2033609044
2020-03-10 01:58:32;352;IRMÃO JOSE OTÃO X SANTO ANTONIO; ;R IRMAO JOSE OTAO ;"540";-30,0314343047;-51,2131413961
2020-03-10 01:58:32;51;CAPITÓLIO;"3224-3223 ";AV BORGES DE MEDEIROS ;"1080";-30,0362438693;-51,2280364303
2020-03-10 01:58:32;63;PRAÇA PINHEIRO MACHADO X FARRAPOS; ;AV PATRIA ;"613";-30,0062123346;-51,2016365909
2020-03-10 01:58:32;228;CALDAS JUNIOR X SETE DE SETEMBRO; ;R CALDAS JUNIOR ;"180";-30,0299923124;-51,2321254314
2020-03-10 01:58:32;460;AV. ASSIS BRASIL X AV. FRANCISCO TREIN; ;AV. ASSIS BRASIL ;"2611";-30,0109020328;-51,161062508
2020-03-10 01:58:32;25;SAPÉ X FRANCISCO TREIN;"3361 4088 ";R SAPE ;"525";-30,0179052628;-51,1585408853
2020-03-10 01:58:32;61;FERNANDES VIEIRA X VASCO DA GAMA;"3222-8931 ";R FERNANDES VIEIRA ;"261";-30,0316876867;-51,2109190968
2020-03-10 01:58:32;79;HOSPITAL MOINHOS DE VENTO;"3311-3588 ";R RAMIRO BARCELOS ;"919";-30,0270643003;-51,2092497261
2020-03-10 01:58:32;201;VASCO ALVES X WASHINGTON LUIZ; ;R GEN VASCO ALVES ;"490";-30,0356900016;-51,2375846614
2020-03-10 01:58:32;329;CARNEIRO DA FONTOURA X ASSIS BRASIL; ;AV CARNEIRO DA FONTOURA ;"28";-30,0113494849;-51,166284306
2020-03-10 01:58:32;120;SEBASTIÃO LEÃO EM FRENTE AO HOSPITAL PORTO ALEGRE;"3221-5595 ";R DR SEBASTIAO LEAO ;"99";-30,0449970696;-51,2172046782
2020-03-10 01:58:32;149;DIOMARIO MOOJEN X CAMPOS VELHO; ;R DIOMARIO MOOJEN ;"30";-30,0928153496;-51,2369095104
